Sample in Buffer,Sample in Window,TRIGGER,ila_out_r[15:0],ila_out_g[15:0],ila_out_b[15:0],capture_active_r,capture_active_g,capture_active_b,final_output_size_r[15:0],final_output_size_g[15:0],final_output_size_b[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED
124,124,0,137,255,66,1,1,1,250,194,208
125,125,0,134,247,42,1,1,1,250,194,208
126,126,0,153,251,36,1,1,1,250,194,208
127,127,0,180,253,140,1,1,1,250,194,208
128,128,0,142,254,51,1,1,1,250,194,208
129,129,0,144,249,113,1,1,1,250,194,208
130,130,0,185,353,251,1,1,1,250,194,208
131,131,0,232,390,237,1,1,1,250,194,208
132,132,0,225,352,239,1,1,1,250,194,208
133,133,0,223,38,250,1,1,1,250,194,208
134,134,0,235,210,249,1,1,1,250,194,208
135,135,0,236,219,251,1,1,1,250,194,208
136,136,0,239,215,251,1,1,1,250,194,208
137,137,0,235,254,253,1,1,1,250,194,208
138,138,0,228,351,45,1,1,1,250,194,208
139,139,0,201,250,67,1,1,1,250,194,208
140,140,0,165,252,87,1,1,1,250,194,208
141,141,0,169,247,43,1,1,1,250,194,208
142,142,0,171,422,75,1,1,1,250,194,208
143,143,0,157,352,79,1,1,1,250,194,208
144,144,0,140,250,58,1,1,1,250,194,208
145,145,0,162,235,73,1,1,1,250,194,208
146,146,0,162,234,252,1,1,1,250,194,208
147,147,0,227,237,385,1,1,1,250,194,208
148,148,0,236,252,251,1,1,1,250,194,208
149,149,0,235,251,357,1,1,1,250,194,208
150,150,0,215,254,385,1,1,1,250,194,208
151,151,0,229,400,100,1,1,1,250,194,208
152,152,0,231,379,42,1,1,1,250,194,208
153,153,0,234,428,42,1,1,1,250,194,208
154,154,0,242,366,131,1,1,1,250,194,208
155,155,0,154,254,56,1,1,1,250,194,208
156,156,0,198,367,57,1,1,1,250,194,208
157,157,0,187,352,69,1,1,1,250,194,208
158,158,0,147,402,105,1,1,1,250,194,208
159,159,0,189,0,385,1,0,1,250,194,208
160,160,0,142,210,253,1,1,1,250,194,208
161,161,0,145,209,387,1,1,1,250,194,208
162,162,0,173,209,388,1,1,1,250,194,208
163,163,0,175,210,225,1,1,1,250,194,208
164,164,0,242,259,149,1,1,1,250,194,208
165,165,0,239,256,72,1,1,1,250,194,208
166,166,0,231,257,64,1,1,1,250,194,208
167,167,0,217,258,70,1,1,1,250,194,208
168,168,0,236,210,40,1,1,1,250,194,208
169,169,0,234,212,43,1,1,1,250,194,208
170,170,0,159,211,248,1,1,1,250,194,208
171,171,0,143,266,374,1,1,1,250,194,208
172,172,0,157,212,387,1,1,1,250,194,208
173,173,0,145,213,387,1,1,1,250,194,208
174,174,0,143,217,359,1,1,1,250,194,208
175,175,0,177,217,385,1,1,1,250,194,208
176,176,0,149,216,252,1,1,1,250,194,208
177,177,0,176,213,66,1,1,1,250,194,208
178,178,0,146,211,84,1,1,1,250,194,208
179,179,0,161,209,236,1,1,1,250,194,208
180,180,0,172,212,251,1,1,1,250,194,208
181,181,0,177,214,373,1,1,1,250,194,208
182,182,0,142,214,386,1,1,1,250,194,208
183,183,0,163,213,358,1,1,1,250,194,208
184,184,0,194,212,399,1,1,1,250,194,208
185,185,0,158,256,374,1,1,1,250,194,208
186,186,0,169,220,227,1,1,1,250,194,208
187,187,0,140,210,58,1,1,1,250,194,208
188,188,0,163,211,192,1,1,1,250,194,208
189,189,0,178,260,253,1,1,1,250,194,208
190,190,0,146,256,245,1,1,1,250,194,208
191,191,0,148,211,248,1,1,1,250,194,208
192,192,0,187,213,248,1,1,1,250,194,208
193,193,0,178,288,250,1,1,1,250,194,208
194,194,0,141,214,242,1,1,1,250,194,208
195,195,0,141,215,411,1,1,1,250,194,208
196,196,0,144,219,375,1,1,1,250,194,208
197,197,0,178,210,422,1,1,1,250,194,208
198,198,0,136,216,43,1,1,1,250,194,208
199,199,0,166,218,81,1,1,1,250,194,208
200,200,0,196,219,110,1,1,1,250,194,208
