Sample in Buffer,Sample in Window,TRIGGER,ila_out_r[15:0],ila_out_g[15:0],ila_out_b[15:0],capture_active_r,capture_active_g,capture_active_b,final_output_size_r[15:0],final_output_size_g[15:0],final_output_size_b[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED
549,549,0,41,0,237,1,0,1,250,194,208
550,550,0,52,210,239,1,1,1,250,194,208
551,551,0,19,209,250,1,1,1,250,194,208
552,552,0,41,209,249,1,1,1,250,194,208
553,553,0,54,210,251,1,1,1,250,194,208
554,554,0,55,259,251,1,1,1,250,194,208
555,555,0,68,256,253,1,1,1,250,194,208
556,556,0,85,257,45,1,1,1,250,194,208
557,557,0,30,258,67,1,1,1,250,194,208
558,558,0,18,210,87,1,1,1,250,194,208
559,559,0,25,212,43,1,1,1,250,194,208
560,560,0,24,211,75,1,1,1,250,194,208
561,561,0,23,266,79,1,1,1,250,194,208
562,562,0,310,212,58,1,1,1,250,194,208
563,563,0,20,213,73,1,1,1,250,194,208
564,564,0,21,217,252,1,1,1,250,194,208
565,565,0,63,217,385,1,1,1,250,194,208
566,566,0,66,216,251,1,1,1,250,194,208
567,567,0,118,213,357,1,1,1,250,194,208
568,568,0,30,211,385,1,1,1,250,194,208
569,569,0,20,209,100,1,1,1,250,194,208
570,570,0,39,212,42,1,1,1,250,194,208
571,571,0,68,214,42,1,1,1,250,194,208
572,572,0,84,214,131,1,1,1,250,194,208
573,573,0,237,213,56,1,1,1,250,194,208
574,574,0,232,212,57,1,1,1,250,194,208
575,575,0,204,256,69,1,1,1,250,194,208
576,576,0,234,220,105,1,1,1,250,194,208
577,577,0,231,210,385,1,1,1,250,194,208
578,578,0,74,211,253,1,1,1,250,194,208
579,579,0,56,260,387,1,1,1,250,194,208
580,580,0,143,256,388,1,1,1,250,194,208
581,581,0,61,211,225,1,1,1,250,194,208
582,582,0,62,213,149,1,1,1,250,194,208
583,583,0,130,288,72,1,1,1,250,194,208
584,584,0,56,214,64,1,1,1,250,194,208
585,585,0,59,215,70,1,1,1,250,194,208
586,586,0,51,219,40,1,1,1,250,194,208
587,587,0,25,210,43,1,1,1,250,194,208
588,588,0,214,216,248,1,1,1,250,194,208
589,589,0,233,218,374,1,1,1,250,194,208
590,590,0,231,219,387,1,1,1,250,194,208
591,591,0,236,222,387,1,1,1,250,194,208
592,592,0,236,225,359,1,1,1,250,194,208
593,593,0,237,213,385,1,1,1,250,194,208
594,594,0,215,283,252,1,1,1,250,194,208
595,595,0,21,266,66,1,1,1,250,194,208
596,596,0,56,266,84,1,1,1,250,194,208
597,597,0,27,283,236,1,1,1,250,194,208
598,598,0,92,220,251,1,1,1,250,194,208
599,599,0,79,219,373,1,1,1,250,194,208
600,600,0,48,235,386,1,1,1,250,194,208
601,601,0,53,273,358,1,1,1,250,194,208
602,602,0,61,215,399,1,1,1,250,194,208
603,603,0,37,221,374,1,1,1,250,194,208
604,604,0,234,226,227,1,1,1,250,194,208
605,605,0,342,101,58,1,1,1,250,194,208
606,606,0,236,129,192,1,1,1,250,194,208
607,607,0,238,252,253,1,1,1,250,194,208
608,608,0,239,112,245,1,1,1,250,194,208
609,609,0,237,95,248,1,1,1,250,194,208
610,610,0,116,223,248,1,1,1,250,194,208
611,611,0,63,218,250,1,1,1,250,194,208
612,612,0,44,239,242,1,1,1,250,194,208
613,613,0,18,220,411,1,1,1,250,194,208
614,614,0,147,220,375,1,1,1,250,194,208
615,615,0,158,236,422,1,1,1,250,194,208
616,616,0,162,219,43,1,1,1,250,194,208
617,617,0,177,220,81,1,1,1,250,194,208
618,618,0,235,217,110,1,1,1,250,194,208
619,619,0,234,212,96,1,1,1,250,194,208
620,620,0,238,100,411,1,1,1,250,194,208
621,621,0,341,41,246,1,1,1,250,194,208
622,622,0,232,63,246,1,1,1,250,194,208
623,623,0,237,31,239,1,1,1,250,194,208
624,624,0,243,41,252,1,1,1,250,194,208
625,625,0,147,40,253,1,1,1,250,194,208
626,626,0,137,108,414,1,1,1,250,194,208
627,627,0,134,211,385,1,1,1,250,194,208
628,628,0,153,219,232,1,1,1,250,194,208
629,629,0,180,212,172,1,1,1,250,194,208
630,630,0,142,229,170,1,1,1,250,194,208
631,631,0,144,225,182,1,1,1,250,194,208
632,632,0,185,294,248,1,1,1,250,194,208
633,633,0,232,219,246,1,1,1,250,194,208
634,634,0,225,213,250,1,1,1,250,194,208
635,635,0,223,53,247,1,1,1,250,194,208
636,636,0,235,40,358,1,1,1,250,194,208
637,637,0,236,54,357,1,1,1,250,194,208
638,638,0,239,32,372,1,1,1,250,194,208
639,639,0,235,49,419,1,1,1,250,194,208
640,640,0,228,63,357,1,1,1,250,194,208
641,641,0,201,140,411,1,1,1,250,194,208
642,642,0,165,235,386,1,1,1,250,194,208
643,643,0,169,221,0,1,1,0,250,194,208
644,644,0,171,282,70,1,1,1,250,194,208
645,645,0,157,254,69,1,1,1,250,194,208
646,646,0,140,255,69,1,1,1,250,194,208
647,647,0,162,255,68,1,1,1,250,194,208
648,648,0,162,254,69,1,1,1,250,194,208
649,649,0,227,30,70,1,1,1,250,194,208
650,650,0,236,40,71,1,1,1,250,194,208
651,651,0,235,59,256,1,1,1,250,194,208
652,652,0,215,34,257,1,1,1,250,194,208
653,653,0,229,28,69,1,1,1,250,194,208
654,654,0,231,138,71,1,1,1,250,194,208
655,655,0,234,44,79,1,1,1,250,194,208
656,656,0,242,109,76,1,1,1,250,194,208
657,657,0,154,255,68,1,1,1,250,194,208
658,658,0,198,252,72,1,1,1,250,194,208
659,659,0,187,252,77,1,1,1,250,194,208
660,660,0,147,255,69,1,1,1,250,194,208
661,661,0,189,253,60,1,1,1,250,194,208
662,662,0,142,352,69,1,1,1,250,194,208
663,663,0,145,255,77,1,1,1,250,194,208
664,664,0,173,37,73,1,1,1,250,194,208
665,665,0,175,63,257,1,1,1,250,194,208
666,666,0,242,92,256,1,1,1,250,194,208
667,667,0,239,35,66,1,1,1,250,194,208
668,668,0,231,68,65,1,1,1,250,194,208
669,669,0,217,73,66,1,1,1,250,194,208
670,670,0,236,52,68,1,1,1,250,194,208
671,671,0,234,67,68,1,1,1,250,194,208
672,672,0,159,351,281,1,1,1,250,194,208
673,673,0,143,353,281,1,1,1,250,194,208
674,674,0,157,378,282,1,1,1,250,194,208
675,675,0,145,255,259,1,1,1,250,194,208
676,676,0,143,95,70,1,1,1,250,194,208
677,677,0,177,35,77,1,1,1,250,194,208
678,678,0,149,34,74,1,1,1,250,194,208
679,679,0,176,129,73,1,1,1,250,194,208
680,680,0,146,50,71,1,1,1,250,194,208
681,681,0,161,50,67,1,1,1,250,194,208
682,682,0,172,63,68,1,1,1,250,194,208
683,683,0,177,100,71,1,1,1,250,194,208
684,684,0,142,368,63,1,1,1,250,194,208
685,685,0,163,379,78,1,1,1,250,194,208
686,686,0,194,352,57,1,1,1,250,194,208
687,687,0,158,227,63,1,1,1,250,194,208
688,688,0,169,146,101,1,1,1,250,194,208
689,689,0,140,65,75,1,1,1,250,194,208
690,690,0,163,56,70,1,1,1,250,194,208
691,691,0,178,59,73,1,1,1,250,194,208
692,692,0,146,32,72,1,1,1,250,194,208
693,693,0,148,35,303,1,1,1,250,194,208
694,694,0,187,251,73,1,1,1,250,194,208
695,695,0,178,368,68,1,1,1,250,194,208
696,696,0,141,351,67,1,1,1,250,194,208
697,697,0,141,380,95,1,1,1,250,194,208
698,698,0,144,353,101,1,1,1,250,194,208
699,699,0,178,44,44,1,1,1,250,194,208
700,700,0,136,64,72,1,1,1,250,194,208
701,701,0,166,238,68,1,1,1,250,194,208
702,702,0,196,254,296,1,1,1,250,194,208
703,703,0,166,365,67,1,1,1,250,194,208
704,704,0,154,390,106,1,1,1,250,194,208
705,705,0,150,403,91,1,1,1,250,194,208
706,706,0,149,226,81,1,1,1,250,194,208
707,707,0,187,51,116,1,1,1,250,194,208
708,708,0,151,239,86,1,1,1,250,194,208
709,709,0,142,255,62,1,1,1,250,194,208
710,710,0,147,247,86,1,1,1,250,194,208
711,711,0,150,251,96,1,1,1,250,194,208
712,712,0,169,253,72,1,1,1,250,194,208
713,713,0,151,254,66,1,1,1,250,194,208
714,714,0,165,249,79,1,1,1,250,194,208
715,715,0,182,353,71,1,1,1,250,194,208
716,716,0,125,390,307,1,1,1,250,194,208
717,717,0,30,352,66,1,1,1,250,194,208
718,718,0,59,38,50,1,1,1,250,194,208
719,719,0,45,210,49,1,1,1,250,194,208
720,720,0,185,219,69,1,1,1,250,194,208
721,721,0,178,215,39,1,1,1,250,194,208
722,722,0,144,254,48,1,1,1,250,194,208
723,723,0,202,351,48,1,1,1,250,194,208
724,724,0,153,250,97,1,1,1,250,194,208
725,725,0,160,252,70,1,1,1,250,194,208
726,726,0,177,247,62,1,1,1,250,194,208
727,727,0,197,422,66,1,1,1,250,194,208
728,728,0,155,352,47,1,1,1,250,194,208
729,729,0,156,250,109,1,1,1,250,194,208
730,730,0,181,235,88,1,1,1,250,194,208
731,731,0,181,234,93,1,1,1,250,194,208
732,732,0,178,237,97,1,1,1,250,194,208
733,733,0,156,252,83,1,1,1,250,194,208
734,734,0,101,251,59,1,1,1,250,194,208
735,735,0,88,254,47,1,1,1,250,194,208
736,736,0,113,400,60,1,1,1,250,194,208
737,737,0,184,379,40,1,1,1,250,194,208
738,738,0,180,428,56,1,1,1,250,194,208
739,739,0,153,366,70,1,1,1,250,194,208
740,740,0,183,254,118,1,1,1,250,194,208
741,741,0,141,367,42,1,1,1,250,194,208
742,742,0,156,352,55,1,1,1,250,194,208
743,743,0,437,402,107,1,1,1,250,194,208
744,744,0,147,0,74,1,0,1,250,194,208
745,745,0,154,210,250,1,1,1,250,194,208
746,746,0,146,209,251,1,1,1,250,194,208
747,747,0,169,209,252,1,1,1,250,194,208
748,748,0,162,210,251,1,1,1,250,194,208
749,749,0,186,259,38,1,1,1,250,194,208
750,750,0,157,256,47,1,1,1,250,194,208
751,751,0,144,257,66,1,1,1,250,194,208
752,752,0,161,258,42,1,1,1,250,194,208
753,753,0,163,210,36,1,1,1,250,194,208
754,754,0,160,212,140,1,1,1,250,194,208
755,755,0,160,211,51,1,1,1,250,194,208
756,756,0,0,266,113,0,1,1,250,194,208
757,757,0,19,212,251,1,1,1,250,194,208
758,758,0,15,213,237,1,1,1,250,194,208
759,759,0,16,217,239,1,1,1,250,194,208
760,760,0,18,217,250,1,1,1,250,194,208
761,761,0,19,216,249,1,1,1,250,194,208
762,762,0,20,213,251,1,1,1,250,194,208
763,763,0,19,211,251,1,1,1,250,194,208
764,764,0,16,209,253,1,1,1,250,194,208
765,765,0,15,212,45,1,1,1,250,194,208
766,766,0,14,214,67,1,1,1,250,194,208
767,767,0,258,214,87,1,1,1,250,194,208
768,768,0,20,213,43,1,1,1,250,194,208
769,769,0,30,212,75,1,1,1,250,194,208
770,770,0,24,256,79,1,1,1,250,194,208
771,771,0,24,220,58,1,1,1,250,194,208
772,772,0,22,210,73,1,1,1,250,194,208
773,773,0,26,211,252,1,1,1,250,194,208
774,774,0,31,260,385,1,1,1,250,194,208
775,775,0,46,256,251,1,1,1,250,194,208
776,776,0,50,211,357,1,1,1,250,194,208
777,777,0,44,213,385,1,1,1,250,194,208
778,778,0,32,288,100,1,1,1,250,194,208
779,779,0,23,214,42,1,1,1,250,194,208
780,780,0,15,215,42,1,1,1,250,194,208
781,781,0,25,219,131,1,1,1,250,194,208
782,782,0,34,210,56,1,1,1,250,194,208
783,783,0,36,216,57,1,1,1,250,194,208
784,784,0,268,218,69,1,1,1,250,194,208
785,785,0,18,219,105,1,1,1,250,194,208
786,786,0,16,222,385,1,1,1,250,194,208
787,787,0,60,225,253,1,1,1,250,194,208
788,788,0,17,213,387,1,1,1,250,194,208
789,789,0,23,283,388,1,1,1,250,194,208
790,790,0,19,266,225,1,1,1,250,194,208
791,791,0,18,266,149,1,1,1,250,194,208
792,792,0,17,283,72,1,1,1,250,194,208
793,793,0,17,220,64,1,1,1,250,194,208
794,794,0,14,219,70,1,1,1,250,194,208
795,795,0,23,235,40,1,1,1,250,194,208
796,796,0,32,273,43,1,1,1,250,194,208
797,797,0,33,215,248,1,1,1,250,194,208
798,798,0,31,221,374,1,1,1,250,194,208
799,799,0,34,226,387,1,1,1,250,194,208
800,800,0,41,101,387,1,1,1,250,194,208
801,801,0,52,129,359,1,1,1,250,194,208
802,802,0,19,252,385,1,1,1,250,194,208
803,803,0,41,112,252,1,1,1,250,194,208
804,804,0,54,95,66,1,1,1,250,194,208
805,805,0,55,223,84,1,1,1,250,194,208
806,806,0,68,218,236,1,1,1,250,194,208
807,807,0,85,239,251,1,1,1,250,194,208
808,808,0,30,220,373,1,1,1,250,194,208
809,809,0,18,220,386,1,1,1,250,194,208
810,810,0,25,236,358,1,1,1,250,194,208
811,811,0,24,219,399,1,1,1,250,194,208
812,812,0,23,220,374,1,1,1,250,194,208
813,813,0,310,217,227,1,1,1,250,194,208
814,814,0,20,212,58,1,1,1,250,194,208
815,815,0,21,100,192,1,1,1,250,194,208
816,816,0,63,41,253,1,1,1,250,194,208
817,817,0,66,63,245,1,1,1,250,194,208
818,818,0,118,31,248,1,1,1,250,194,208
819,819,0,30,41,248,1,1,1,250,194,208
820,820,0,20,40,250,1,1,1,250,194,208
821,821,0,39,108,242,1,1,1,250,194,208
822,822,0,68,211,411,1,1,1,250,194,208
823,823,0,84,219,375,1,1,1,250,194,208
824,824,0,237,212,422,1,1,1,250,194,208
825,825,0,232,229,43,1,1,1,250,194,208
826,826,0,204,225,81,1,1,1,250,194,208
827,827,0,234,294,110,1,1,1,250,194,208
828,828,0,231,219,96,1,1,1,250,194,208
829,829,0,74,213,411,1,1,1,250,194,208
830,830,0,56,53,246,1,1,1,250,194,208
831,831,0,143,40,246,1,1,1,250,194,208
832,832,0,61,54,239,1,1,1,250,194,208
833,833,0,62,32,252,1,1,1,250,194,208
834,834,0,130,49,253,1,1,1,250,194,208
835,835,0,56,63,414,1,1,1,250,194,208
836,836,0,59,140,385,1,1,1,250,194,208
837,837,0,51,235,232,1,1,1,250,194,208
838,838,0,25,221,172,1,1,1,250,194,208
839,839,0,214,282,170,1,1,1,250,194,208
840,840,0,233,254,182,1,1,1,250,194,208
841,841,0,231,255,248,1,1,1,250,194,208
842,842,0,236,255,246,1,1,1,250,194,208
843,843,0,236,254,250,1,1,1,250,194,208
844,844,0,237,30,247,1,1,1,250,194,208
845,845,0,215,40,358,1,1,1,250,194,208
846,846,0,21,59,357,1,1,1,250,194,208
847,847,0,56,34,372,1,1,1,250,194,208
848,848,0,27,28,419,1,1,1,250,194,208
849,849,0,92,138,357,1,1,1,250,194,208
850,850,0,79,44,411,1,1,1,250,194,208
851,851,0,48,109,386,1,1,1,250,194,208
852,852,0,53,255,0,1,1,0,250,194,208
853,853,0,61,252,70,1,1,1,250,194,208
854,854,0,37,252,69,1,1,1,250,194,208
855,855,0,234,255,69,1,1,1,250,194,208
856,856,0,342,253,68,1,1,1,250,194,208
857,857,0,236,352,69,1,1,1,250,194,208
858,858,0,238,255,70,1,1,1,250,194,208
859,859,0,239,37,71,1,1,1,250,194,208
860,860,0,237,63,256,1,1,1,250,194,208
861,861,0,116,92,257,1,1,1,250,194,208
862,862,0,63,35,69,1,1,1,250,194,208
863,863,0,44,68,71,1,1,1,250,194,208
864,864,0,18,73,79,1,1,1,250,194,208
865,865,0,147,52,76,1,1,1,250,194,208
866,866,0,158,67,68,1,1,1,250,194,208
867,867,0,162,351,72,1,1,1,250,194,208
868,868,0,177,353,77,1,1,1,250,194,208
869,869,0,235,378,69,1,1,1,250,194,208
870,870,0,234,255,60,1,1,1,250,194,208
871,871,0,238,95,69,1,1,1,250,194,208
872,872,0,341,35,77,1,1,1,250,194,208
873,873,0,232,34,73,1,1,1,250,194,208
874,874,0,237,129,257,1,1,1,250,194,208
875,875,0,243,50,256,1,1,1,250,194,208
876,876,0,147,50,66,1,1,1,250,194,208
877,877,0,137,63,65,1,1,1,250,194,208
878,878,0,134,100,66,1,1,1,250,194,208
879,879,0,153,368,68,1,1,1,250,194,208
880,880,0,180,379,68,1,1,1,250,194,208
881,881,0,142,352,281,1,1,1,250,194,208
882,882,0,144,227,281,1,1,1,250,194,208
883,883,0,185,146,282,1,1,1,250,194,208
884,884,0,232,65,259,1,1,1,250,194,208
885,885,0,225,56,70,1,1,1,250,194,208
886,886,0,223,59,77,1,1,1,250,194,208
887,887,0,235,32,74,1,1,1,250,194,208
888,888,0,236,35,73,1,1,1,250,194,208
889,889,0,239,251,71,1,1,1,250,194,208
890,890,0,235,368,67,1,1,1,250,194,208
891,891,0,228,351,68,1,1,1,250,194,208
892,892,0,201,380,71,1,1,1,250,194,208
893,893,0,165,353,63,1,1,1,250,194,208
894,894,0,169,44,78,1,1,1,250,194,208
895,895,0,171,64,57,1,1,1,250,194,208
896,896,0,157,238,63,1,1,1,250,194,208
897,897,0,140,254,101,1,1,1,250,194,208
898,898,0,162,365,75,1,1,1,250,194,208
899,899,0,162,390,70,1,1,1,250,194,208
900,900,0,227,403,73,1,1,1,250,194,208
901,901,0,236,226,72,1,1,1,250,194,208
902,902,0,235,51,303,1,1,1,250,194,208
903,903,0,215,239,73,1,1,1,250,194,208
904,904,0,229,255,68,1,1,1,250,194,208
905,905,0,231,247,67,1,1,1,250,194,208
906,906,0,234,251,95,1,1,1,250,194,208
907,907,0,242,253,101,1,1,1,250,194,208
908,908,0,154,254,44,1,1,1,250,194,208
909,909,0,198,249,72,1,1,1,250,194,208
910,910,0,187,353,68,1,1,1,250,194,208
911,911,0,147,390,296,1,1,1,250,194,208
912,912,0,189,352,67,1,1,1,250,194,208
913,913,0,142,38,106,1,1,1,250,194,208
914,914,0,145,210,91,1,1,1,250,194,208
915,915,0,173,219,81,1,1,1,250,194,208
916,916,0,175,215,116,1,1,1,250,194,208
917,917,0,242,254,86,1,1,1,250,194,208
918,918,0,239,351,62,1,1,1,250,194,208
919,919,0,231,250,86,1,1,1,250,194,208
920,920,0,217,252,96,1,1,1,250,194,208
921,921,0,236,247,72,1,1,1,250,194,208
922,922,0,234,422,66,1,1,1,250,194,208
923,923,0,159,352,79,1,1,1,250,194,208
924,924,0,143,250,71,1,1,1,250,194,208
925,925,0,157,235,307,1,1,1,250,194,208
926,926,0,145,234,66,1,1,1,250,194,208
927,927,0,143,237,50,1,1,1,250,194,208
928,928,0,177,252,49,1,1,1,250,194,208
929,929,0,149,251,69,1,1,1,250,194,208
930,930,0,176,254,39,1,1,1,250,194,208
931,931,0,146,400,48,1,1,1,250,194,208
932,932,0,161,379,48,1,1,1,250,194,208
933,933,0,172,428,97,1,1,1,250,194,208
934,934,0,177,366,70,1,1,1,250,194,208
935,935,0,142,254,62,1,1,1,250,194,208
936,936,0,163,367,66,1,1,1,250,194,208
937,937,0,194,352,47,1,1,1,250,194,208
938,938,0,158,402,109,1,1,1,250,194,208
939,939,0,169,0,88,1,0,1,250,194,208
940,940,0,140,210,93,1,1,1,250,194,208
941,941,0,163,209,97,1,1,1,250,194,208
942,942,0,178,209,83,1,1,1,250,194,208
943,943,0,146,210,59,1,1,1,250,194,208
944,944,0,148,259,47,1,1,1,250,194,208
945,945,0,187,256,60,1,1,1,250,194,208
946,946,0,178,257,40,1,1,1,250,194,208
947,947,0,141,258,56,1,1,1,250,194,208
948,948,0,141,210,70,1,1,1,250,194,208
949,949,0,144,212,118,1,1,1,250,194,208
950,950,0,178,211,42,1,1,1,250,194,208
951,951,0,136,266,55,1,1,1,250,194,208
952,952,0,166,212,107,1,1,1,250,194,208
953,953,0,196,213,74,1,1,1,250,194,208
954,954,0,166,217,250,1,1,1,250,194,208
955,955,0,154,217,251,1,1,1,250,194,208
956,956,0,150,216,252,1,1,1,250,194,208
957,957,0,149,213,251,1,1,1,250,194,208
958,958,0,187,211,38,1,1,1,250,194,208
959,959,0,151,209,47,1,1,1,250,194,208
960,960,0,142,212,66,1,1,1,250,194,208
961,961,0,147,214,42,1,1,1,250,194,208
962,962,0,150,214,36,1,1,1,250,194,208
963,963,0,169,213,140,1,1,1,250,194,208
964,964,0,151,212,51,1,1,1,250,194,208
965,965,0,165,256,113,1,1,1,250,194,208
966,966,0,182,220,251,1,1,1,250,194,208
967,967,0,125,210,237,1,1,1,250,194,208
968,968,0,30,211,239,1,1,1,250,194,208
969,969,0,59,260,250,1,1,1,250,194,208
970,970,0,45,256,249,1,1,1,250,194,208
971,971,0,185,211,251,1,1,1,250,194,208
972,972,0,178,213,251,1,1,1,250,194,208
973,973,0,144,288,253,1,1,1,250,194,208
974,974,0,202,214,45,1,1,1,250,194,208
975,975,0,153,215,67,1,1,1,250,194,208
976,976,0,160,219,87,1,1,1,250,194,208
977,977,0,177,210,43,1,1,1,250,194,208
978,978,0,197,216,75,1,1,1,250,194,208
979,979,0,155,218,79,1,1,1,250,194,208
980,980,0,156,219,58,1,1,1,250,194,208
981,981,0,181,222,73,1,1,1,250,194,208
982,982,0,181,225,252,1,1,1,250,194,208
983,983,0,178,213,385,1,1,1,250,194,208
984,984,0,156,283,251,1,1,1,250,194,208
985,985,0,101,266,357,1,1,1,250,194,208
986,986,0,88,266,385,1,1,1,250,194,208
987,987,0,113,283,100,1,1,1,250,194,208
988,988,0,184,220,42,1,1,1,250,194,208
989,989,0,180,219,42,1,1,1,250,194,208
990,990,0,153,235,131,1,1,1,250,194,208
991,991,0,183,273,56,1,1,1,250,194,208
992,992,0,141,215,57,1,1,1,250,194,208
993,993,0,156,221,69,1,1,1,250,194,208
994,994,0,437,226,105,1,1,1,250,194,208
995,995,0,147,101,385,1,1,1,250,194,208
996,996,0,154,129,253,1,1,1,250,194,208
997,997,0,146,252,387,1,1,1,250,194,208
998,998,0,169,112,388,1,1,1,250,194,208
999,999,0,162,95,225,1,1,1,250,194,208
1000,1000,0,186,223,149,1,1,1,250,194,208
1001,1001,0,157,218,72,1,1,1,250,194,208
1002,1002,0,144,239,64,1,1,1,250,194,208
1003,1003,0,161,220,70,1,1,1,250,194,208
1004,1004,0,163,220,40,1,1,1,250,194,208
1005,1005,0,160,236,43,1,1,1,250,194,208
1006,1006,0,160,219,248,1,1,1,250,194,208
1007,1007,0,0,220,374,0,1,1,250,194,208
1008,1008,0,19,217,387,1,1,1,250,194,208
1009,1009,0,15,212,387,1,1,1,250,194,208
1010,1010,0,16,100,359,1,1,1,250,194,208
1011,1011,0,18,41,385,1,1,1,250,194,208
1012,1012,0,19,63,252,1,1,1,250,194,208
1013,1013,0,20,31,66,1,1,1,250,194,208
1014,1014,0,19,41,84,1,1,1,250,194,208
1015,1015,0,16,40,236,1,1,1,250,194,208
1016,1016,0,15,108,251,1,1,1,250,194,208
1017,1017,0,14,211,373,1,1,1,250,194,208
1018,1018,0,258,219,386,1,1,1,250,194,208
1019,1019,0,20,212,358,1,1,1,250,194,208
1020,1020,0,30,229,399,1,1,1,250,194,208
1021,1021,0,24,225,374,1,1,1,250,194,208
1022,1022,0,24,294,227,1,1,1,250,194,208
1023,1023,0,22,219,58,1,1,1,250,194,208
